title,preview,link,image
HBO is making Beyoncé’s ‘Lemonade’ free to watch this weekend,"Beyoncé’s mysterious one-off HBO special Lemonade will be free to watch.

The television network has announced that the hour-long programme, which is set to premiere this Saturday, will be made available to non-subscribers. 

A cryptic trailer for the project was released earlier this week, however, no further details have been provided. Some fans have speculated that the star will broadcast her new album, ahead of the first date of her world tour next Wednesday.



Beyoncé previously teamed up with HBO for a documentary, Life Is But a Dream, which aired in 2013, and a live concert film of her and Jay Z’s On the Run Tour.

Beyoncé released her previous album back in 2013 with no prior build up or marketing. She released the entire fourteen track album along with full music videos.

She recently unveiled her new fashion line called Ivy Park and the singer’s fan base have noted the star's continual references to lemons on social media, suggesting this HBO project could be linked to her new music.

HBO is also making the season premieres of Game of Thrones, Veep and Silicon Valley free to watch over the weekend.

Beyoncé will tour the UK during June and July. See below her full UK dates:

Sunderland, Stadium of Light (June 28)
Cardiff, Principality Stadium (30)
London, Wembley Stadium (July 2, 3)
Manchester, Emirates Old Trafford Cricket Ground (5)
Glasgow, Hampden Park (7)",http://www.nme.com/news/beyonce/93142,http://nme.assets.ipccdn.co.uk/images/2016_FormationBeyonce_press_080216.jpg
Idris Elba to star in 70s-based black activism mini-series 'Guerilla',"Idris Elba will star in a new mini-series based around black activism in 1970s London, entitled Guerilla.

Written by John Ridley (12 Years A Slave, Ben Hur, Three Kings), the plot will centre on an underground cell and the freeing of a political prisoner. 

The official synopsis reads:

""Guerilla is a love story set against the backdrop of one of the most politically explosive times in U.K. history. It tells the story of a politically active couple whose relationship and values are tested when they liberate a political prisoner and form a radical underground cell in 1970s London. Their ultimate target becomes the Black Power Desk, a true-life, secretive counter-intelligence unit within Special Branch dedicated to crushing all forms of black activism.""

Dean Chalkley/ NME

Elba has been speaking to TVLine about the project, and sounds excited by the concept. He said:

""It’s been a long time desire of mine to collaborate with Mr. Ridley and his work here is nothing short of a masterclass in character building and story-telling. TV is in for a treat.""

The show is expected to run on Sky Atlantic in the UK. 

Elba was also named on Time's Most Influential List this week, with The Wire director David Simon saying of the actor:

“I knew Elba, as true a leading man as I’d ever encountered, was not going to starve."" He added that he told Elba: “Brother, you’re never going to lack for work again. You’re going straight to features. Don’t you realize that?”",http://www.nme.com/filmandtv/news/idris-elba-to-star-in-70s-based-black-activism-min/405327,http://nme.assets.ipccdn.co.uk/images/2014IdrisElba_Getty474270267070314.jpg
Emilia Clarke rules out appearing in 'Terminator' sequels,"Emilia Clarke, who played Sarah Conor in the latest Terminator film, has said she will not appear in any sequels.

The actor responded bluntly when she was asked if she would reprise the role, telling film site Coming Soon: “No. Can I say that? It’s okay. No. Uh-uh. But I have some very different roles coming up.”

Clarke starred in the fifth film in the science fiction franchise, Terminator Genisys, which was released last year. Set in 1984, it follows Sarah Connor during her younger years, before the birth of her son John Connor, who goes on to become the leader of the human resistance. The film also saw the return of Arnold Schwarzenegger, who last appeared in the third instalment of the series, 2003’s Terminator 3: Rise of the Machines.

While Genisys grossed over $440m in the box office, it received mixed reviews from critics. Following its release, Skydance chief creative officer Dana Goldberg announced that the franchise would be “readjusting” its plans for additional Terminator sequels.

The Game of Thrones star is set to appear on the big screen later this year as the lead in Warner Bros. Pictures‘ Me Before You, in which she plays a woman who begins caring for a wealthy young man (Sam Claflin) who has recently become paralyzed.",http://www.nme.com/filmandtv/news/emilia-clarke-rules-out-appearing-in-terminator-se/405332,http://nme.assets.ipccdn.co.uk/images/2016_emiliaClarke_GettyImages-520382746_210416.jpg
Game Of Thrones season six about 'rebuilding characters' lives' - producer,"Bryan Cogman - writer and producer of Game Of Thrones - has talked about what to expect from the latest episodes of the popular drama series, describing season six as a ""rebuilding"" season.

Cogman compared the darkness of the fifth season with the soon-to-launch latest, and also described the new outing as ""the hardest to write so far,"" as the episodes will not be a direct adaptation from the books.

""Season 5 was about taking characters to the brink – and for certain characters like Stannis and Jon, destroying them altogether,"" Cogman told Entertainment Weekly. 

""We left our central characters in huge moments of crisis and at their lowest points last year. All of them are now trying to rebuild their lives. Season 5 was in many ways our darkest. This season is still very dark, very intense, but it’s very much a next act.""

The final trailer for season 6 was unveiled earlier this week ahead of the series' return this weekend, and can be seen below, via YouTube:



Cogman also described the new season as ""Westeros 2, an alternative Westeros,"" because of the move away from Martin's written version of the story, which has now been overtaken by the televised version.

""It was the hardest season to write for that very reason,"" he explained. ""While we’re still drawing from a lot of situations and arcs in the books, it’s obviously not a direct adaptation of any of the books this year."" 

""I will say you’ll see character versions and interpretations that are in some of the previous books that we hadn’t gotten to yet. I think of it as Westeros 2 – the alternate universe version of Westeros. There’s the book universe and a show universe and this is what happens in the show universe.""

Cogman also dealt with the challenges of the season, in particular in keeping the plotline on course. He explained:

""Not letting everyone get overwhelmed by the size of it and keeping your eye on the prize [are the greatest challenges] – the clarity of the characters and their motivations. You can obsess about a sequence or a line of action, but if you lose sight of the story then none of it matters.""

Season 6 of Game Of Thrones kicks off with a 2am showing on Sky Atlantic on April 25.",http://www.nme.com/filmandtv/news/game-of-thrones-season-six-about-rebuilding-charac/405331,http://nme.assets.ipccdn.co.uk/images/2016GameOfThronesLogoPress.png
"Let's Eat Grandma announce details of debut album 'I, Gemini'","Let’s Eat Grandma will release debut album 'I, Gemini' in June.

The duo from Norwich will release the album on June 17. New single ‘Eat Shiitake Mushrooms’ will precede the album and can be heard below. 

Recorded at Norwich's Old School Studios, a nuclear bomb shelter turned analogue recording studio, the album will be released via Transgressive (Foals, Two Door Cinema Club). 

Let’s Eat Grandma have also announced a series of live dates throughout Europe and the UK, including festival appearances at Latitude and The Great Escape plus a headline date at London's Electrowerkz. See below for the 'I, Gemini' tracklist and the band's live plans. 



'I, Gemini' tracklist:

'Deep Six Textbook'
'Eat Shiitake Mushrooms'
'Sax in the City'
'Chocolate Sludge Cake'
'Chimpanzees in Canopies'
'Rapunzel'
'Sleep Song'
'Welcome to the Treehouse Part I'
'Welcome to the Treehouse Part II'
'Uke 6 Textbook'

The Great Escape, Brighton (May 19-21)
This Must Be The Place, Leeds (May 30)
London, Electrowerkz (June 1)
Latitude Festival (July 15-17)
Blue Dot Festival (July 22-24)",http://www.nme.com/news/various-artists/93139,http://nme.assets.ipccdn.co.uk/images/2016_LetsEatGrandma_FrancescaAllen_210416.jpg
Garbage launch new single 'Empty' - listen,"Garbage have unveiled 'Empty', the first single from their forthcoming album 'Strange Little Birds', and the first single taken from an album since 2012's 'Control'.

Vocalist Shirley Manson has described the track as ""exactly what it says it is, a song about emptiness.""

Garbage had previously released a stand-alone single every year since the launch of their fifth album, 2012's 'Not Your Kind Of People'. 

'Strange Little Birds' - which will be released on the band's own label STUNVOLUME on June 10 - has been described by Manson as ""less fussed over"" than anything Garbage have ever made, with Butch Vig adding that the band ""fell in love with immediacy.""

Listen to the new track via YouTube, below:



Speaking of the album, Vig later added:

""It's quite different for us. It’s very cinematic and there are a lot of sonic moments on the record that are not necessarily typical Garbage. We sort of took the rock out and deconstructed the songs, made them more vulnerable-sounding."" 

""Some moments get completely crazy, completely blown out. I think it’s one of those records people are going to listen to the first time and go, ‘Wow, what was that?’ They’re gonna need to hear it a couple times to get into it. But we’re really happy with it. We hope Garbage fans will find it as interesting as we do.”

At the time of the album launch, Manson said “To me, this record, funnily enough, has the most to do with the first record than any of the previous records. It’s getting back to that beginner’s headspace. In part, that’s a result of not having anyone to answer to.""

As well as a the album, Garbage have also promised further live dates to add to the current European tour, though it's not clear if those dates will include further UK appearances. At present their two UK dates come right after the album launch, as follows:

Troxy, London (June 13) 
Rock City, Nottingham (June 14) 

The full tracklisting for 'Strange Little Birds' will be as follows:

Sometimes
Empty
Blackout 
If I Lost You
Night Drive Loneliness
Even Though Our Love Is Doomed
Magnetized
We Never Tell
So We Can Stay Alive
Teaching Little Fingers To Play
Amends",http://www.nme.com/news/garbage/93138,http://nme.assets.ipccdn.co.uk/images/2015Garbage_ShirleyManson_GettyImages-496176232101115.jpg
"Music legend Prince has died, aged 57","Prince has died aged 57.

According to a report by TMZ, since confirmed to Associated Press by the singer's representatives, the musician’s body was found early this morning (April 21) at his Paisley Park estate in Chanhassen, Minnesota. Police were earlier reported to be investigating a fatality at the estate, though the identity of the deceased was not revealed. 

Update 21.04.16, 20:40: Carver County Sheriff’s department have released a full statement, it reads:

""Carver County Sheriff Jim Olson reports that on April 21, 2016, at about 9:43 am, sheriff’s deputies responded to a medical call at Paisley Park Studios in Chanhassen. When deputies and medical personnel arrived, they found an unresponsive adult male in the elevator. First responders attempted to provide lifesaving CPR, but were unable to revive the victim. He was pronounced deceased at 10:07 am. He has been identified as Prince Rogers Nelson (57) of Chanhassen.

The Carver County Sheriff’s Office, with the assistance of the Hennepin County Sheriff’s Office and The Midwest Medical Examiner’s Office, are continuing to investigate the circumstances surrounding his death.""

A group of fans has since begun to gather in the rain outside Prince's Paisley Park estate:
WATCH NOW: Fans gather at Prince’s Paisley Park studio after reports of his death at 57 https://t.co/cLzpnQ63Hr https://t.co/bGcPlrm3No&mdash; CBS News (@CBSNews) April 21, 2016


The singer's publicist, Yvette Noel-Schure, has made the following statement: “It is with profound sadness that I am confirming that the legendary, iconic performer, Prince Rogers Nelson, has died at his Paisley Park residence this morning at the age of 57. There are no further details as to the cause of death at this time.”

The local sheriff has also confirmed the news, tweeting, ""Prince Rogers Nelson (57) found dead at Paisley Park Studios in Chanhassen, MN. We are investigating the circumstances of his death.""
Prince Rogers Nelson (57) found dead at Paisley Park Studios in Chanhassen, MN. We are investigating the circumstances of his death. 802jk&mdash; Carver County S.O. (@CarverSheriff) April 21, 2016


Recent reports claimed that the singer’s private jet was forced to make an emergency landing in Illinois on April 15 for health reasons. He later spent a short period of time in hospital there. The next day, he appeared in concert. Sources close to Prince said he was suffering a ""bad bout of flu"". 

He reportedly threw a public party at Paisley Park on Saturday (April 16), to celebrate the good weather and the support and love he had been shown since he was taken to hospital the previous day. Referring to the stories about his health, he told the crowd: ""Wait a few days before you waste any prayers.""

Born Prince Rogers Nelson on June 7, 1958, the singer went on to release 39 studio albums over a music career that lasted nearly 40 years. He rose to world fame in 1982 with the release of fifth album ‘1999’, and achieved worldwide success with his sixth, 1984’s ‘Purple Rain’, which was certified platinum in countries including the USA, UK, Australia, Switzerland and France. 

He was inducted into the Rock and Roll Hall of Fame in 2004, with the following tribute: ""He rewrote the rulebook, forging a synthesis of black funk and white rock that served as a blueprint for cutting-edge music in the Eighties. Prince made dance music that rocked and rock music that had a bristling, funky backbone. From the beginning, Prince and his music were androgynous, sly, sexy and provocative.""

Last year he released two albums, ‘HITnRUN Phase One’ and ‘HITnRUN Phase Two’. He was recently reported to be in the middle of writing his memoir, ‘The Beautiful Ones’.",http://www.nme.com/news/prince/93141,http://nme.assets.ipccdn.co.uk/images/2015Prince_Press1_040215.jpg
"Azealia Banks previews new tracks, reveals one was intended for Rihanna","Azealia Banks previewed several new tracks from upcoming projects on Periscope last night.

The rapper played snippets from songs that are set to appear on her new mixtape ‘Fantasea II’ and another release, ‘Business and Pleasure’. 

Banks also appeared to suggest that one of the demos was originally written for Rihanna. ""You wanna hear one of the songs I did for, what's this bitch, antioxidant?"" she said, a term she's previously used to refer to Rihanna's latest album ‘Anti’ on Twitter. Listen to the track below.



According to Banks her future projects, which include a video for ‘The Big Big Beat’ and a wider release of her new mixtape ‘Slay-Z’, have been delayed while she signs a new distribution deal.

Asked when they might see release, Banks said she plans to drop 'Fantasia II' after a summer tour, with 'Business and Pleasure' coming out the following winter.

Earlier this month, Banks wrote an open letter to Sarah Palin, after the former Alaska governor threatened to sue her for a series of offensive comments made on Twitter. 

The rapper initially apologised for the remarks, which were prompted by a satirical news story that Banks believed to be real, before backtracking and criticising Palin again.

Watch back Banks' Periscope stream here (available only for 24 hours).",http://www.nme.com/news/azealia-banks/93140,http://nme.assets.ipccdn.co.uk/images/2013AzealiaBanks_Press_0010100913.jpg
"Kendrick Lamar, Adele, Nicki Minaj, Idris Elba make Time’s most influential list","Kendrick Lamar, Adele, Nicki Minaj and Idris Elba have ranked among the top 100 most influential people in the world by Time magazine.

All four stars appeared in the annual list alongside figures like Pope Francis, Tim Cook and Caitlyn Jenner.

Nicki Minaj’s entry was introduced by her former mentor Lil Wayne, who first signed the rapper to his Young Money imprint.

“She’s reached far beyond everything I would have imagined. Man, she’s so influential and doing all the right things,” he wrote. She’s an icon, a boss and a role model to all these young girls out here on how to do it the right way.”

He added: “Nicki Minaj will go down as one of the best to do it in the history of music.”

Adele, who appears in the “Icons” category of the list, was praised by Jennifer Lawrence, who wrote: “Adele is a gift, an international treasure, but she’s also sweet, funny, intelligent and beautiful. Bitch.”

For Idris Elba’s entry, The Wire creator David Simon recalled having to tell the actor, who played the role of Stringer Bell, of his death scene in the series.

“I knew Elba, as true a leading man as I’d ever encountered, was not going to starve,” says Simon, adding that he told Elba: “Brother, you’re never going to lack for work again. You’re going straight to features. Don’t you realize that?”

Also included in this year’s list are singer Ariana Grande, Star Wars actor Oscar Isaac and novelist Ta-Nehisi Coates.",http://www.nme.com/news/kendrick-lamar/93137,http://nme.assets.ipccdn.co.uk/images/2015KendrickLamar_ST_4_150715.jpg
Viet Cong change name to Preoccupations,"Viet Cong have announced that they are changing their name.

From now on the Canadian post-punk group will be known as Preoccupations. 

The group have faced criticised in the past for their former name, which led to some promoters cancelling their gigs. Viet Cong was the political organization and army in South Vietnam and Cambodia that fought the United States and South Vietnamese governments during the Vietnam War. 

Last September, the four-piece said they would change their name before the release of their next record.

In a statement announcing the change earlier today, they apologised for causing offence.

It reads: “We apologize to those who were adversely affected by our former band name. This was never anticipated nor our intent. We are artists and not politicians, we understand that the name reflected pain to some individuals and we are happy to change it and move on and focus on our music.”

Frontman Matt Flegel admitted that the band were not fully aware of the context of their former name.

""We were pretty naive, and pretty ignorant on the subject. We know a lot more now. If we knew what we know now then we would definitely not call the band that,” he told Pitchfork.

Flegel said that conversations with fans of Vietnamese heritage led to the decision.

Press

“I don't really keep track of what people are saying online or social media. Anything I learned was face to face from people at shows, and directly from protesters, and hearing stories about Vietnamese refugees,” he said.

“We've never really read about that side of things; we didn't know anything about that side of the war. But it was an eye-opener, and it was great talking to people about it, hearing things directly from people who have had the experience of the terrible things coming out of the war.

“It was always civil, and we met some great people because of it. We talked to fans of our band who are of a Vietnamese background. It's really helpful to have a face-to-face conversation with another human being that has family, or has been directly affected by something, rather than just hearsay on the internet.”

Preoccupations have finished recording their second album and are scheduled to play two gigs in London in June. 

London, Shacklewell Arms (June 22)
London, Old Blue Last (23)",http://www.nme.com/news/nme/93136,http://nme.assets.ipccdn.co.uk/images/2014VietCong-3_VF_231214.jpg
Catfish and the Bottlemen announce two London shows,"Catfish and the Bottlemen have announced two further London dates, ahead of the release of their forthcoming second album ‘The Ride’.

The Welsh band are riding the crest of a wave after selling out six dates on a mini tour in April, and they're set to continue their run of form with two shows at the Electric Ballroom in Camden, on 23 and 25 May. 

With anticipation over their sophomore album reaching fever pitch, the band has been forced to sell tickets for the two shows at the 1,000-capacity venue by ballot. Tickets will cost £20 each, on top of booking fees, and ballot winners will be able to buy a maximum of two each. Fans will have to register by 3pm on Monday.

Sign up for Tickets here before Monday&gt; https://t.co/gUrsqbXiGu &lt; pic.twitter.com/XOKFsBPdq9&mdash; Catfish&amp;theBottlemen (@thebottlemen) April 22, 2016


The London shows will follow a further three in Hull, Margate and Northampton - all already long since sold-out - ahead of the release of the new album on 27 May. The band also released a single, ‘7’, on Tuesday, which has reached number one on the Itunes alternative chart.

The Bottlemen will go on to play a series of festivals this summer, including the Radio 1 Big Weekend in Exeter, Manchester Sounds of the City, T in the Park, Truck Festival in Oxford and Sheffield's Tramlines. 

'The Ride' is the follow-up to their acclaimed debut, 'The Balcony', which was released in 2014 and went on to win the Llandudno band the award for British Breakthrough Act at the 2016 Brits in February. 

10 Things You Never Knew About Catfish And The Bottlemen
",http://www.nme.com/news/catfish-the-bottlemen/93170,http://nme.assets.ipccdn.co.uk/images/2015CatfishAndTheBottlemen_Glastonbury2015_JH_1_260615.jpg
