title,preview,image,link
See Slipknot's Corey Taylor Sing Powerful 'Purple Rain' Prince Tribute,"Slipknot and Stone Sour frontman Corey Taylor sang a moving, acoustic rendition of Prince's ""Purple Rain"" Thursday¬ night at Minneapolis' First Avenue club, one of the settings in the Purple Rain movie. The singer, dressed casually in a white T-shirt, jeans and slicked-back hair, walked out solo and plugged in his...",http://assets.rollingstone.com/assets/2016/article/see-slipknots-corey-taylor-sing-powerful-purple-rain-prince-tribute-20160422/237874/small_square/1461334956/100x100-GettyImages-485090846.jpg,http://www.rollingstone.com/music/news/see-slipknots-corey-taylor-sing-powerful-purple-rain-prince-tribute-20160422
Alabama Shakes on N. Carolina 'Bathroom Bill': 'It Was Wrong',"Grammy Award-winning rock band Alabama Shakes¬ are the latest musical act to speak out on North Carolina's controversial¬ HB2 law,¬ commonly referred to as the ""bathroom bill.""

""I think it was wrong what the lawmakers did,"" singer Brittany Howard said in a music festival podcast interview¬ for CRN International. Speaking about the LGBT community, Howard...",http://assets.rollingstone.com/assets/2016/article/alabama-shakes-on-n-carolina-bathroom-bill-it-was-wrong-20160422/237595/small_square/1461252044/100x100-GettyImages-490375602.jpg,http://www.rollingstone.com/music/news/alabama-shakes-on-n-carolina-bathroom-bill-it-was-wrong-20160422
Flashback: Prince Plays a Jaw-Dropping Cover of 'Creep' at Coachella,"Just two weeks before the 2008 Coachella festival, the organizers announced that a very big name had joined the lineup: Prince. The previous summer they'd reunited Rage Against the Machine, but this time around their biggest stars were Jack Johnson, Roger Waters and Portishead. With a ton of new festivals...",http://assets.rollingstone.com/assets/2016/article/flashback-prince-plays-a-jaw-dropping-cover-of-creep-at-coachella-20160422/237873/small_square/1461334776/100x100-GettyImages-80883254.jpg,http://www.rollingstone.com/music/news/flashback-prince-plays-a-jaw-dropping-cover-of-creep-at-coachella-20160422
Gojira Tease Emotional New LP With Disturbing 'Stranded' Video,"French progressive-metal veterans Gojira¬ plunge into a cult-like atmosphere with their disturbing video for ""Stranded."" The dynamic single highlights the quartet's new LP, Magma, out June 17th via Roadrunner Records.¬ 

The Vincent Caldoni-directed clip finds the band performing in a house custom-designed for a horror film, filled with people wearing dog masks...",http://assets.rollingstone.com/assets/2016/article/gojira-tease-emotional-new-lp-with-disturbing-stranded-video-20160422/237879/small_square/1461335739/100x100-gjora.jpg,http://www.rollingstone.com/music/news/gojira-tease-emotional-new-lp-with-disturbing-stranded-video-20160422
George Strait Begins Historic Vegas Run: The Ram Report,"On the south end of the famed Las Vegas Strip sits a brand-new, $375 million stadium built to lure even more entertainment to Sin City. The T-Mobile Arena opened April 6th, christened with a concert by hometown rock heroes, the Killers, and Vegas icon Wayne Newton. Tonight, the 20,000-seat venue...",http://assets.rollingstone.com/assets/2016/article/george-strait-begins-historic-vegas-run-the-ram-report-20160422/237842/small_square/1461332330/100x100-GettyImages-515911196.jpg,http://www.rollingstone.com/music/videos/george-strait-begins-historic-vegas-run-the-ram-report-20160422
"Goodbye, Prince ‚Äì¬ You Were the Best of Us","The song ""Purple Rain"" begins with an apology. ""I never meant to cause you any sorrow, never meant to cause you any pain.""

In the context of the movie Purple Rain, that could have meant Prince's ""The Kid"" character apologizing for betraying and hitting his girlfriend Apollonia. Or Prince could have...",http://assets.rollingstone.com/assets/2016/article/goodbye-prince-you-were-the-best-of-us-20160422/237882/small_square/1461335984/100x100-prince-34.jpg,http://www.rollingstone.com/music/news/goodbye-prince-you-were-the-best-of-us-20160422
Minneapolis in Mourning: A City Celebrates Prince,"The black brick walls outside of First Avenue, the downtown Minneapolis rock club that Prince¬ made legendary in Purple Rain, are decorated with large white stars, each bearing the name of an act that performed there. Prince's is among the most prominent. Within two hours after the announcement of his death,...",http://assets.rollingstone.com/assets/2016/article/minneapolis-in-mourning-a-city-celebrates-prince-20160422/237900/small_square/1461337425/100x100-prince-MN.jpg,http://www.rollingstone.com/music/news/minneapolis-in-mourning-a-city-celebrates-prince-20160422
Hear Lady Antebellum's Hillary Scott Go Gospel With 'Thy Will',"With Lady Antebellum on hiatus, the multi-platinum trio's Hillary Scott has been focusing on her family, spending time with young daughter Eisele and also working on a gospel album with her famous parents.

Scott officially revealed that new project today, posting¬ a handwritten note on social media outlining the album's details and...",http://assets.rollingstone.com/assets/2016/article/hear-lady-antebellums-hillary-scott-go-gospel-with-thy-will-20160422/237884/small_square/1461336015/100x100-GettyImages-521366224%281%29.jpg,http://www.rollingstone.com/music/videos/hear-lady-antebellums-hillary-scott-go-gospel-with-thy-will-20160422
Watch James Otto Salute Prince With Dynamic 'Purple Rain',"As the loss of Prince yesterday at age 57 continues to resonate throughout the music industry, artists from all genres have been turning in their own musical tributes. ""Purple Rain"" has been the go-to song choice, with Jake Owen singing a stripped-down version yesterday at a convention in Las Vegas,...",http://assets.rollingstone.com/assets/2016/article/watch-james-otto-salute-prince-with-dynamic-purple-rain-20160422/237928/small_square/1461340030/100x100-Screen-Shot-2016-04-22-at-10.45.15-AM.png,http://www.rollingstone.com/music/news/watch-james-otto-salute-prince-with-dynamic-purple-rain-20160422
12 Wildest Prince Moments,"""I‚Äôm no different to anyone,""¬ Prince humbly told NME in 1996. The world begs to differ. Throughout his storied career, the late icon bucked trends, overhauled tradition, reinvented fashion and never let public opinion get in the way of his flamboyant talent ‚Äì all while writing, playing and performing some of...",http://assets.rollingstone.com/assets/2016/list/12-wildest-prince-moments-20160422/237958/small_square/1461343537/100x100-prince.jpg,http://www.rollingstone.com/music/lists/12-wildest-prince-moments-20160422
