title,link,video,image
When We Were Young - Adele,https://itunes.apple.com/us/music-video/when-we-were-young-live-at/id1081542110?uo=2,http://a1361.phobos.apple.com/us/r1000/168/Video49/v4/4f/3d/40/4f3d40f3-5d21-8e47-de55-3bbfc7633ffc/mzvf_3340170176655762007.640x354.h264lc.U.p.m4v,http://is4.mzstatic.com/image/thumb/Video49/v4/56/bd/d7/56bdd74f-88f2-c052-5517-569f2e5b3af4/8864456272510101VIC.jpg/80x60bb-85.jpg
Boombox - Laura Marano,https://itunes.apple.com/us/music-video/boombox/id1099013223?uo=2,http://a575.phobos.apple.com/us/r1000/170/Video5/v4/f7/c9/9c/f7c99c22-fa05-4512-04c1-e70add51f059/mzvf_4439180066725984042.640x354.h264lc.U.p.m4v,http://is5.mzstatic.com/image/thumb/Video3/v4/30/98/01/3098014d-954f-d6ed-5e5e-755dc0934f40/dj.vlkcavvt.jpg/80x60bb-85.jpg
It's All Going to Pot - Willie Nelson & Merle Haggard,https://itunes.apple.com/us/music-video/its-all-going-to-pot/id986062144?uo=2,http://a1114.phobos.apple.com/us/r1000/132/Video5/v4/40/5d/c1/405dc1bf-f614-6f4f-7f38-5c36e8755a8e/mzvf_7434822962830582506.640x480.h264lc.U.p.m4v,http://is1.mzstatic.com/image/thumb/Video7/v4/35/05/69/35056951-a783-08ee-4c90-9415d323109a/8864451696140101VIC.jpg/80x60bb-85.jpg
Make Me Like You - Gwen Stefani,https://itunes.apple.com/us/music-video/make-me-like-you/id1088493113?uo=2,http://a379.phobos.apple.com/us/r1000/131/Video69/v4/23/77/45/23774554-e286-2308-b05d-7f709801a621/mzvf_6660864747128063589.640x480.h264lc.U.p.m4v,http://is1.mzstatic.com/image/thumb/Video49/v4/1e/0b/b1/1e0bb1d9-1f93-5c96-f048-abb44be3b015/vidtrkimg_00602547815507_1_1.jpg/80x60bb-85.jpg
Pour Some Sugar On Me - Def Leppard,https://itunes.apple.com/us/music-video/pour-some-sugar-on-me/id553727199?uo=2,http://a1587.phobos.apple.com/us/r1000/075/Video/bb/a0/da/mzi.zwxbmaov..640x480.h264lc.u.p.m4v,http://is3.mzstatic.com/image/thumb/Video/v4/10/0d/e8/100de84a-93e7-2a1b-8a96-888b017531bf/USMVB1200018.jpg/80x60bb-85.jpg
Girl Crush - Little Big Town,https://itunes.apple.com/us/music-video/girl-crush-deluxe-version/id1035468006?uo=2,http://a1988.phobos.apple.com/us/r1000/162/Video4/v4/dd/f0/ef/ddf0ef36-929e-428c-bd3e-9da3e7a3cdc8/mzvf_8206846153056406042.640x480.h264lc.U.p.m4v,http://is1.mzstatic.com/image/thumb/Video49/v4/22/6b/82/226b8280-41fb-d4e6-1da3-5ef3c9dbf04b/vidtrkimg_00602547581297_1_2.jpg/80x60bb-85.jpg
Bitch Better Have My Money - Rihanna,https://itunes.apple.com/us/music-video/bitch-better-have-my-money/id1015165161?uo=2,http://a1295.phobos.apple.com/us/r1000/161/Video7/v4/69/40/33/6940333e-b2ba-eb0e-e0ff-756c2d12631d/mzvf_7554064733019868356.640x366.h264lc.U.p.m4v,http://is5.mzstatic.com/image/thumb/Video7/v4/ed/57/8b/ed578bb9-255a-e61e-804f-cf349a2298c7/vidtrkimg_00851365006400_1_1.jpg/80x60bb-85.jpg
"Only (feat. Drake, Lil Wayne & Chris Brown) - Nicki Minaj",https://itunes.apple.com/us/music-video/only-feat.-drake-lil-wayne/id957857018?uo=2,http://a80.phobos.apple.com/us/r1000/127/Video6/v4/04/95/bb/0495bbcb-461d-d8c1-8661-42d0bcfc26e6/mzvf_4447843876964153781.640x480.h264lc.U.p.m4v,http://is4.mzstatic.com/image/thumb/Video1/v4/86/89/6a/86896a83-5069-f22e-6a28-e47678dfbae1/vidtrkimg_00602547131768_1_1.jpg/80x60bb-85.jpg
You Don't Own Me (feat. G-Eazy) - Grace,https://itunes.apple.com/us/music-video/you-dont-own-me-feat.-g-eazy/id1000103301?uo=2,http://a1404.phobos.apple.com/us/r1000/159/Video7/v4/2e/1d/bb/2e1dbbda-48b0-ea50-706f-4e527d98070c/mzvf_6156222477092340134.640x352.h264lc.U.p.m4v,http://is4.mzstatic.com/image/thumb/Video7/v4/8c/53/99/8c5399c5-6301-1d5a-6888-a8495940e6b8/8864453147620101VIC.jpg/80x60bb-85.jpg
Roses (feat. ROZES) - The Chainsmokers,https://itunes.apple.com/us/music-video/roses-feat.-rozes/id1023021501?uo=2,http://a282.phobos.apple.com/us/r1000/155/Video7/v4/79/84/89/798489bc-556f-d507-aef5-a07182f22c69/mzvf_595732643415416926.640x284.h264lc.U.p.m4v,http://is1.mzstatic.com/image/thumb/Video4/v4/8e/ac/cb/8eaccbf2-7204-d5b3-6664-012e43047f57/8864454191150101VIC.jpg/80x60bb-85.jpg
Fight Song - Rachel Platten,https://itunes.apple.com/us/music-video/fight-song/id995359164?uo=2,http://a265.phobos.apple.com/us/r1000/140/Video1/v4/a7/ce/58/a7ce588f-bfa3-e626-af86-0e4c8bfeaa34/mzvf_1195887201817070981.640x328.h264lc.U.p.m4v,http://is4.mzstatic.com/image/thumb/Video3/v4/99/39/39/993939bd-81cc-411d-7f6f-803fafc05511/8864451630490101VIC.jpg/80x60bb-85.jpg
Hysteria - Def Leppard,https://itunes.apple.com/us/music-video/hysteria/id553727201?uo=2,http://a1003.phobos.apple.com/us/r1000/079/Video/c8/da/c5/mzi.cgeeksou..640x480.h264lc.u.p.m4v,http://is4.mzstatic.com/image/thumb/Video/v4/e8/36/80/e8368082-1191-7c83-e6d2-b8f21aa76dbc/USMVB1200024.jpg/80x60bb-85.jpg
Roar - Katy Perry,https://itunes.apple.com/us/music-video/roar/id700911241?uo=2,http://a33.phobos.apple.com/us/r1000/155/Video2/v4/85/17/ca/8517ca51-22d3-264d-a3e1-685ed2e4836e/mzvf_8499278187698766986.640x476.h264lc.U.p.m4v,http://is2.mzstatic.com/image/thumb/Video5/v4/f0/ee/2f/f0ee2fd9-bf47-0ae8-9b5d-e3873e32e50d/vidtrkimg_00602537546923_1_1.jpg/80x60bb-85.jpg
