title,preview,link,image
Brian Johnson statement: I Am Not Retiring,AC/DC singer Brian Johnson has issued a statement to assure fans that he is “not retiring’ and that he will continue to record.,http://www.music-news.com/news/UK/96927/Brian-Johnson-statement-I-Am-Not-Retiring,http://www.music-news.com/images/news/Brian-Johnson.jpg
Nicole Scherzinger splits from Grigor Dimitrov,Nicole Scherzinger has reportedly ended her relationship with tennis player Grigor Dimitrov because of his unwillingness to settle down.,http://www.music-news.com/news/UK/96926/Nicole-Scherzinger-splits-from-Grigor-Dimitrov,http://www.music-news.com/images/news/cover/96926.jpg
Usain Bolt: 'Rihanna snubbed my date request',Olympic athlete Usain Bolt was left disappointed when his declaration of love for Rihanna was ignored by the singer.,http://www.music-news.com/news/UK/96930/Usain-Bolt-Rihanna-snubbed-my-date-request,http://www.music-news.com/images/news/cover/96930.jpg
Florence Welch and Vincent Haycock unveil short film ‘The Odyssey’ ,"Florence Welch and director Vincent Haycock debut their short film The Odyssey today in full. The film, created for Florence + the Machine’s new album",http://www.music-news.com/news/UK/96929/Florence-Welch-and-Vincent-Haycock-unveil-short-film-The-Odyssey,http://www.music-news.com/images/news/Florence-Welch.jpg
Beyoncé names three charities as global tour partners,Today Beyoncé names three charities as global partners for The Formation World Tour. The alignment with the three organizations,http://www.music-news.com/news/UK/96946/Beyonc%C3%A9-names-three-charities-as-global-tour-partners,http://www.music-news.com/images/news/beyonce.jpg
Meghan Trainor: 'My phone was hacked after the Grammys',Meghan Trainor is excited to write new songs with Rita Ora.,http://www.music-news.com/news/UK/96921/Meghan-Trainor-My-phone-was-hacked-after-the-Grammys,http://www.music-news.com/images/news/cover/96921.jpg
Gwen Stefani 'leaks' Blake Shelton's new album tracklisting,Gwen confirms reports of a country collaboration with her new beau.,http://www.music-news.com/news/UK/96922/Gwen-Stefani-leaks-Blake-Shelton-s-new-album-tracklisting,http://www.music-news.com/images/news/cover/96922.jpg
Kesha to revisit abuse allegations for deposition,The singer could come face-to-face with her alleged abuser in court.,http://www.music-news.com/news/UK/96923/Kesha-to-revisit-abuse-allegations-for-deposition,http://www.music-news.com/images/news/cover/96923.jpg
Justin Bieber loves 'weird' hairstyle,Justin impersonated a female fan who disapproved of his dreads.,http://www.music-news.com/news/UK/96920/Justin-Bieber-loves-weird-hairstyle,http://www.music-news.com/images/news/cover/96920.jpg
Beyonce invites DJ Khaled to join her on tour,"The opportunity is a ""dream come true"" for the rap producer.",http://www.music-news.com/news/UK/96919/Beyonce-invites-DJ-Khaled-to-join-her-on-tour,http://www.music-news.com/images/news/cover/96919.jpg
Joe Jonas overwhelmed by reaction to Cake by the Ocean,"Joe Jonas has been overwhelmed by the reaction to DNCE's hit Cake by the Ocean, and still finds it amazing to hear the track on the radio.",http://www.music-news.com/news/UK/96986/Joe-Jonas-overwhelmed-by-reaction-to-Cake-by-the-Ocean,http://www.music-news.com/images/news/cover/96986.jpg
Blake Shelton 'loves' his duet with Gwen Stefani,"Blake Shelton has gushed about his girlfriend Gwen Stefani, describing her as ""the coolest girl in the world"".",http://www.music-news.com/news/UK/96985/Blake-Shelton-loves-his-duet-with-Gwen-Stefani,http://www.music-news.com/images/news/cover/96985.jpg
Nathan Sykes: 'My fan messages have got saucier!',"Nathan Sykes doesn't mind being compared to Zayn Malik, because he's a ""massive fan"" of the former One Direction singer.",http://www.music-news.com/news/UK/96990/Nathan-Sykes-My-fan-messages-have-got-saucier,http://www.music-news.com/images/news/cover/96990.jpg
FKA Twigs: 'Most artists are vessels',"FKA Twigs doesn't mean to be a tough interviewee, but she can see why people think that.",http://www.music-news.com/news/UK/96989/FKA-Twigs-Most-artists-are-vessels,http://www.music-news.com/images/news/cover/96989.jpg
Lily Allen blasted for response to Rita Ora's Prince tribute,Lily Allen has been criticised for her response to Rita Ora's tribute to Prince following his tragic death on Thursday (21Apr16).,http://www.music-news.com/news/UK/96980/Lily-Allen-blasted-for-response-to-Rita-Ora-s-Prince-tribute,http://www.music-news.com/images/news/cover/96980.jpg
Mariah Carey dedicates song to Prince at Paris gig,Stevie Wonder pays a musical tribute to his late pal Prince.,http://www.music-news.com/news/UK/96978/Mariah-Carey-dedicates-song-to-Prince-at-Paris-gig,http://www.music-news.com/images/news/cover/96978.jpg
Video premiere of Billie Ray Martin's new single 'Strongheaded Woman',Music-News.com is proud to host the video premiere of Billie Ray Martin's new single 'Strongheaded Woman'.,http://www.music-news.com/news/UK/96870/Video-premiere-of-Billie-Ray-Martin-s-new-single-Strongheaded-Woman,http://www.music-news.com/images/news/Billie-Ray-Martin.jpg
Prince treated for drug overdose days before death - report,"Prince ""was not doing well"" when he left hospital after being treated for a reported drug overdose just six days before his tragic death on Thursday (21Apr16), TMZ.com have claimed.",http://www.music-news.com/news/UK/96981/Prince-treated-for-drug-overdose-days-before-death-report,http://www.music-news.com/images/news/cover/96981.jpg
Aretha Franklin: 'Zika virus may have been the cause of Prince's death',Aretha Franklin fears music icon was battling serious illness disguised as the flu.,http://www.music-news.com/news/UK/96977/Aretha-Franklin-Zika-virus-may-have-been-the-cause-of-Prince-s-death,http://www.music-news.com/images/news/cover/96977.jpg
Guns N' Roses express heartbreak over fan bus crash tragedy,Guns N' Roses members are filled with grief over the tragic death.,http://www.music-news.com/news/UK/96976/Guns-N-Roses-express-heartbreak-over-fan-bus-crash-tragedy,http://www.music-news.com/images/news/cover/96976.jpg
Skepta: Pharrell’s blessed me,Yesterday on Beats 1 Zane Lowe interviewed Skepta and premiered new songs from Twin Peaks and Lonely The Brave.,http://www.music-news.com/news/UK/96908/Skepta-Pharrell-s-blessed-me,http://www.music-news.com/images/news/Skepta.jpg
Britney Spears soaring 'thanks to life coach',"Britney Spears is in a great state of mind thanks to her Las Vegas residency, according to reports.",http://www.music-news.com/news/UK/96909/Britney-Spears-soaring-thanks-to-life-coach,http://www.music-news.com/images/news/cover/96909.jpg
Taylor Swift faced her fears at Coachella,The pop star wants to add an honorary doctorate to her collection of awards and accolades so she can keep up with Ed Sheeran.,http://www.music-news.com/news/UK/96917/Taylor-Swift-faced-her-fears-at-Coachella,http://www.music-news.com/images/news/cover/96917.jpg
Juliette Lewis: 'I'm the oddity at the freak show',Juliette Lewis is glad she didn''t start making music until she was almost 30.,http://www.music-news.com/news/UK/96918/Juliette-Lewis-I-m-the-oddity-at-the-freak-show,http://www.music-news.com/images/news/cover/96918.jpg
Kendall Jenner's romance with Jordan Clarkson is 'heating up',"Kendall Jenner's relationship with Los Angeles Lakers player Jordan Clarkson is heating up, according to reports.",http://www.music-news.com/news/UK/96901/Kendall-Jenner-s-romance-with-Jordan-Clarkson-is-heating-up,http://www.music-news.com/images/news/cover/96901.jpg
Paul McCartney and PETA US Most Vegan-Friendly City in the US,"Presenting a bouquet of roses carved from vegetables, Paul McCartney and PETA US Vice President Dan Mathews congratulated Mayor Charlie",http://www.music-news.com/news/UK/96905/Paul-McCartney-and-PETA-US-Most-Vegan-Friendly-City-in-the-US,http://www.music-news.com/images/news/Paul-McCartney.jpg
Paul McCartney and PETA US name most vegan-friendly US city,"Presenting a bouquet of roses carved from vegetables, Paul McCartney and PETA US Vice President Dan Mathews congratulated Mayor Charlie",http://www.music-news.com/news/UK/96906/Paul-McCartney-and-PETA-US-name-most-vegan-friendly-US-city,http://www.music-news.com/images/news/Paul-McCartney.jpg
